dataset,model,method,accuracy,log_loss,brier_score,ece
breast_cancer,LogisticRegression,Uncalibrated,0.9649122807017544,0.0861405639380711,0.02392097099409241,0.022013831124809626
breast_cancer,LogisticRegression,Platt,0.9736842105263158,0.0885403759612467,0.02255678791379269,0.038136829369196004
breast_cancer,LogisticRegression,Isotonic,0.9736842105263158,0.6196404706800349,0.0230184604085953,0.024473709119319356
breast_cancer,RandomForest,Uncalibrated,0.9824561403508771,0.11768655386285298,0.029569395711500978,0.06719298245614035
breast_cancer,RandomForest,Platt,0.9824561403508771,0.09473115839100846,0.019323822483822087,0.046806240847524855
breast_cancer,RandomForest,Isotonic,0.9736842105263158,0.3606081883268452,0.027503196019812392,0.04408306524685763
